id,value
flare,
flare.html,
flare.html.en,2661
flare.html.es,12
flare.html.no,1
flare.html.de,29
flare.html.fr,210
flare.pdf,
flare.pdf.en,1042
flare.pdf.es,9
flare.pdf.no,1
flare.pdf.de,1
flare.pdf.fr,19
flare.txt,
flare.txt.en,4031
flare.txt.es,122
flare.txt.no,7
flare.txt.de,12
flare.txt.fr,25
flare.xhtml,
flare.xhtml.en,1023
flare.xhtml.es,122
flare.xhtml.no,7
flare.xhtml.de,200
flare.xhtml.fr,210
